# Combined lineup pack generated from uploaded map CFGs
# Import format: name|throw|nade|pos(x,y,z)|aim(x,y,z)
# Included maps and counts:
#   ancient.cfg: 17
#   anubis.cfg: 9
#   dust2.cfg: 11
#   inferno.cfg: 6
#   mirage.cfg: 32
#   nuke.cfg: 3
#   overpass.cfg: 7
# Skipped entries without usable stand positions:
#   nuke.cfg: nuk_smoke_1 (no stand position)
#   nuke.cfg: nuk_smoke_2 (no stand position)
#   vertigo.cfg: ver_molly_1 (no stand position)
#   vertigo.cfg: ver_smoke_1 (no stand position)

Mirage window|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-29.013554,-165.977768,0.000000
Mirage bottom con|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-51.327881,-156.552582,0.000000
Mirage B short boost|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-43.027225,-179.190460,0.000000
Mirage top con|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-30.461113,-148.113495,0.000000
Mirage instant top con|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-35.250259,-148.314117,0.000000
Mirage instant bottom con|Jump Throw|Smoke|1296.000000,32.000000,-167.968750|-50.989075,-156.875702,0.000000
Mirage window|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-41.971962,-171.705566,0.000000
Mirage bottom con|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-46.528366,-168.154633,0.000000
Mirage B short boost|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-42.272835,170.777679,0.000000
Mirage top con|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-45.630005,-156.112274,0.000000
Mirage instant top con|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-43.905212,-156.404724,0.000000
Mirage instant bottom con|Jump Throw|Smoke|1296.000244,-352.000031,-167.968750|-43.124924,-168.199127,0.000000
Mirage window|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-42.422153,-163.495102,0.000000
Mirage bottom con|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-54.130779,-156.871063,0.000000
Mirage B short boost|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-48.664074,179.520050,0.000000
Mirage top con|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-40.917725,-148.170258,0.000000
Mirage instant top con|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-39.608734,-148.200897,0.000000
Mirage instant bottom con|Jump Throw|Smoke|1216.000000,-16.000000,-163.968750|-53.607182,-156.948029,0.000000
Mirage window|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-43.996048,-165.789886,0.000000
Mirage bottom con|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-54.962418,-159.428802,0.000000
Mirage B short boost|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-48.525364,176.593109,0.000000
Mirage top con|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-41.656902,-150.126007,0.000000
Mirage instant top con|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-40.779106,-150.418671,0.000000
Mirage instant bottom con|Jump Throw|Smoke|1216.000000,-115.000000,-163.968750|-54.454220,-159.490356,0.000000
Mirage window|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-45.045380,-168.063843,0.000000
Mirage bottom con|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-55.332088,-161.896484,0.000000
Mirage B short boost|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-47.370190,173.878662,0.000000
Mirage top con|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-56.333225,-147.990448,0.000000
Mirage instant top con|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-55.547829,-148.282959,0.000000
Mirage instant bottom con|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-54.777691,-162.004120,0.000000
Mirage astralis|Jump Throw|Smoke|-1776.000000,-1976.000000,-263.968750|-25.794962,41.439438,0.000000
Mirage 5 Smoke A execute|Jump Throw|Smoke|1216.000244,-211.000000,-163.968750|-43.843693,-148.176086,0.000000
Nuke instant lobby - spawn 3|Jump Throw|Smoke|2552.000000,-424.000000,-351.968750|-43.320171,177.977814,0.000000
Nuke instant lobby - spawn 4|Jump Throw|Smoke|2504.000000,-344.000000,-351.968750|-44.875481,-179.921127,0.000000
Nuke instant lobby - spawn 5|Jump Throw|Smoke|2585.000000,-344.000000,-351.968750|-43.400000,-179.920593,0.000000
Overpass mid incendiary|Normal|Molotov|-2199.000000,740.000000,476.031250|4.727787,-74.165680,0.000000
Overpass banana to B stairs molotov|Normal|Molotov|-2273.000000,770.000000,476.031250|10.213520,-36.714256,0.000000
Overpass Monster Smoke Spawn 1|Jump Throw|Smoke|-2199.000000,740.000000,539.871216|-11.029430,-41.537399,0.000000
Overpass Monster Smoke Spawn 2|Jump Throw|Smoke|-2273.000000,770.000000,539.871216|-22.162880,-43.208073,0.000000
Overpass Monster Smoke Spawn 3|Jump Throw|Smoke|-2343.000000,797.000000,539.871216|-20.916456,-39.977432,0.000000
Overpass Monster Smoke Spawn 4|Jump Throw|Smoke|-2190.000000,817.000000,539.871216|-13.015195,-47.011066,0.000000
Overpass Monster Smoke Spawn 5|Jump Throw|Smoke|-2275.000000,842.000000,539.871216|-14.704636,-45.844772,0.000000
